,Country Name,Unrest Cases,Political model,Country Code,gdp-2007,gdp-2008,gdp-2009,gdp-2010,gdp -2011,gdp-2012,gdp -2013,gdp-2014,gdp-2015,gdp-2016,gdp-2017,ICP-2007,ICP-2008,ICP-2009,ICP-2010,ICP-2011,ICP-2012,ICP-2013,ICP-2014,ICP-2015,ICP-2016,ICP-2017,UG2007,UG2008,UG2009,UG2010,UG2011,UG2012,UG2013,UG2014,UG2015,UG2016,UG2017,UG2018,UY2007,UY2008,UY2009,UY2010,UY2011,UY2012,UY2013,UY2014,UY2015,UY2016,UY2017,UY2018
0,Algeria,194,Dictatorship,DZA,1.35E+11,1.71E+11,1.37E+11,1.61E+11,2E+11,2.09E+11,2.1E+11,2.14E+11,1.66E+11,1.6E+11,1.68E+11,3.678995747,4.858590628,5.737060361,3.911061955,4.524211505,8.891450911,3.25423911,2.916926921,4.784447007,6.397694803,5.59111591,13.78999996,11.32999992,10.15999985,9.960000038,9.960000038,10.97000027,9.819999695,10.60000038,11.19999981,10.19999981,10.12899971,10.06599998,27.33399963,23.95800018,21.51799965,21.85400009,22.5359993,27.57699966,25.05699921,25.77799988,29.89800072,24.25699997,24.3010006,24.34799957
1,Angola,46,Dictatorship,AGO,65266452081,88538611205,70307163678,83799496612,1.12E+11,1.28E+11,1.37E+11,1.46E+11,1.16E+11,1.01E+11,1.22E+11,12.25149745,12.47582913,13.73028393,14.46965649,13.48246792,10.27790492,8.777814293,7.280387304,10.27804607,32.37773407,31.69168614,16.80400085,14.4989996,12.13700008,9.862999916,7.360000134,7.347000122,7.330999851,7.306000233,7.281000137,7.723999977,8.166999817,8.543000221,39.16400146,33.72600174,28.06999969,22.78300095,16.9260006,16.95700073,16.99799919,16.9489994,16.90500069,18.03100014,19.09000015,19.99099922
2,Benin,26,Democracy,BEN,5969535132,7132787397,7097198712,6970240895,7814081156,8152554487,9157355680,9707432016,8291155881,8573159697,9246696924,1.298068133,7.947298761,2.156829962,2.307356822,2.720908513,6.744416882,0.890008647,-1.006043873,0.273667816,-0.848347682,0.079070843,0.975000024,1.024999976,1.072000027,1.039999962,2.650000095,2.644000053,2.637000084,2.631000042,2.627000093,2.54399991,2.46600008,2.394999981,1.779000044,1.970999956,2.160000086,2.194000006,5.400000095,5.40500021,5.410999775,5.40899992,5.399000168,5.28399992,5.18599987,5.099999905
3,Botswana,4,"Capitalism,Democracy",BWA,10939053365,10945070442,10267133178,12786654366,15351972227,14420393569,14901750765,16250750259,14406496464,15648632362,17406565823,7.080998472,12.70218839,8.027297031,6.948876587,8.459872334,7.536902611,5.884607071,4.402253092,3.062031696,2.814957914,3.308280768,17.3920002,16.98500061,16.17000008,17.86000061,17.61700058,17.49300003,17.71800041,17.34900093,17.01499939,17.11700058,17.35700035,17.61800003,32.25099945,32.49900055,32.5019989,35.23699951,35.17100143,35.1590004,35.50500107,35.23099899,34.99700165,35.27299881,35.69599915,36.1609993
4,Burkina Faso,85,Democracy,BFA,6771277871,8369637065,8369175126,8979966766,10724063458,11166063467,11947176342,12377391463,10419303761,10886363727,12322864245,-0.230627306,10.6597979,2.608176664,-0.764230735,2.759767249,3.818152403,0.533738507,-0.258089518,0.954993317,-0.244764126,0.368047036,3.299999952,3.749000072,4.190999985,4.65199995,5.097000122,5.548999786,6.002999783,6.5,6.493999958,6.390999794,6.303999901,6.227000237,4.853000164,5.383999825,5.882999897,6.451000214,6.956999779,7.479000092,7.997000217,8.56099987,8.559000015,8.552000046,8.562999725,8.572999954
5,Burundi,255,Dictatorship,BDI,1356199365,1611835902,1781455092,2032135247,2235820868,2333308099,2451625333,2705783272,3104394858,2959185295,3172416146,8.412062858,24.40695104,10.55543553,6.493265915,9.59216606,18.16104531,7.937958075,4.405352342,5.544688913,5.557689614,16.0525353,1.649000049,1.633999944,1.603999972,1.574000001,1.544999957,1.514999986,1.485999942,1.570000052,1.57099998,1.590999961,1.552999973,1.51699996,2.891000032,2.880000114,2.844000101,2.815000057,2.78399992,2.759000063,2.736999989,2.91899991,2.904999971,2.957999945,2.898999929,2.839999914
6,Cameroon,197,Dictatorship,CMR,22365265026,26409781215,26017925552,26143818510,29337006833,29104437355,32348149947,34942948737,30916218544,32621535419,34922782311,0.921402246,5.337806276,3.043618479,1.275380462,2.939699463,2.735296775,2.05034718,1.854898504,2.676235314,0.874190383,0.64040915,2.900000095,3.203000069,3.505000114,4.110000134,4.172999859,4.225999832,4.277999878,4.320000172,4.296000004,4.261000156,4.242000103,4.230000019,5.184999943,5.743000031,6.30700016,6.309000015,6.992000103,7.671999931,8.362000465,9.046999931,9.045000076,9.024000168,8.944000244,8.876999855
7,Central African Republic,301,Democracy,CAR,1697565949,1985240986,1981732634,1986015906,2195599557,2169706564,1518565298,1702899386,1583776806,1755468137,1949411659,0.92841211,9.272618503,3.5199021,1.493233784,1.300569969,5.772250594,1.501845124,25.28281065,37.14221481,,,6.257999897,6.257999897,6.261000156,6.265999794,6.277999878,6.297999859,6.287000179,6.342999935,6.393000126,6.159999847,5.952000141,5.765999794,11.46500015,11.43200016,11.42700005,11.44400024,11.44499969,11.45400047,11.27000046,11.41300011,11.45899963,11.02900028,10.61200047,10.23099995
8,Chad,75,Dictatorship,TCD,8638711443,10351932604,9253484108,10657705536,12156380425,12368071039,12949854263,13922223234,10945989472,10090922857,9871247732,-8.97473962,10.29697582,9.952422907,-2.077865746,-3.704295704,14.01820542,0.145451048,1.680835875,3.669900434,,,5.71600008,5.717000008,5.718999863,5.745999813,5.699999809,5.703999996,5.69299984,5.68200016,5.659999847,5.784999847,5.886000156,5.923999786,10.125,10.12300014,10.13700008,10.24600029,10.0880003,10.19299984,10.15600014,10.16899967,10.10499954,10.14400005,10.13700008,10.11900043
9,Costa Rica,7,"Capitalism,Democracy",CRI,26743874206,30612932876,30562361123,37268635287,42262697840,46473128285,49745088112,50577769838,54775994478,57157992434,57285984448,9.357027728,13.42465163,7.842755588,5.662651262,4.878146811,4.495559566,5.231189489,4.519346498,0.801857162,-0.017471924,1.625723304,4.489999771,4.78000021,7.710000038,8.920000076,10.18000031,9.899999619,8.960000038,9.119999886,9.260000229,8.979999542,8.140000343,8.034999847,11.19099998,11.14299965,18.24500084,21.86599922,22.25799942,23.18400002,22.89999962,25.11499977,23.09900093,23.42200089,21.00499916,20.85000038
10,Cote d'Ivoire,171,Democracy,CIV,20343635320,24224903100,24277493862,24884505035,25381616734,26790579775,31273049200,35343298114,39633467836,35389998639,37353276059,1.892006293,6.308527692,1.019504577,1.226456121,4.912433951,1.304511199,2.581170373,0.448682077,1.251499548,0.723178458,0.685881065,3.325999975,3.242000103,3.15899992,3.075999975,2.990999937,2.914000034,2.83100009,2.747999907,2.664999962,2.599999905,2.599999905,2.601000071,4.678999901,4.568999767,4.460000038,4.339000225,4.204999924,4.149000168,4.032999992,3.917999983,3.803999901,3.713999987,3.697999954,3.684999943
11,Cuba,96,"Dictatorship,Communism",CUB,58603900000,60806300000,62080000000,64328000000,68990000000,73141000000,77148000000,80656000000,87133000000,91370000000,96851000000,,,,,,,,,,,,1.789999962,1.580000043,1.669999957,2.5,3.180000067,3.460000038,3.289999962,2.700000048,2.400000095,2.489000082,2.53399992,2.558000088,3.470000029,3.153000116,3.532999992,6.084000111,6.697000027,7.327000141,7.013999939,5.793000221,5.178999901,5.427000046,5.517000198,5.561999798
12,Dominican Republic,38,Democracy,DOM,44169678153,48288967303,48376555306,53982886258,57811180659,60657780261,62661773592,66065015410,68802092021,72342967648,75931656815,6.143566552,10.6446211,1.442151318,6.221762245,8.740359897,3.624901497,4.714828897,3.050108932,0.826638478,1.59498997,3.279556947,5.070000172,4.670000076,5.340000153,5.019999981,5.820000172,6.519999981,7.070000172,6.400000095,5.920000076,5.489999771,5.486000061,5.488999844,11.81700039,10.22900009,11.94999981,10.29699993,13.25199986,14.27400017,16.875,12.90100002,13.55099964,12.40100002,12.43500042,12.49300003
13,El Salvador,47,Democracy,SLV,17011750900,17986886200,17601616000,18447922400,20283783700,21386153000,21977401900,22585841200,23166030400,23912227500,24805439600,4.578085724,6.707922935,1.055950297,1.179335769,5.128923767,1.729734816,0.757669185,1.141344675,-0.731384487,0.604049087,1.012354033,6.409999847,5.880000114,7.329999924,4.889999866,4.300000191,3.849999905,3.690000057,4.159999847,4,4.420000076,4.491000175,4.546000004,11.42300034,10.83399963,13.88799953,10.18799973,8.595000267,8.49600029,8.574000359,9.710000038,8.713999748,9.607000351,9.826999664,10.02400017
14,Eritrea,8,Dictatorship,ERI,1317974491,1380188800,1856695551,2117039512,2607739837,,,,,,,,,,,,,,,,,,6.907999992,6.843999863,6.828000069,6.78000021,6.745999813,6.68599987,6.623000145,6.585999966,6.556000233,6.452000141,6.362999916,6.278999805,11.40999985,11.33300018,11.43999958,11.41899967,11.49800014,11.47700024,11.42700005,11.44999981,11.4460001,11.35700035,11.2510004,11.13300037
15,Ethiopia,109,Dictatorship,ETH,19707616773,27066912635,32437389116,29933790334,31952763089,43310721414,47648211133,55612228234,64464547915,73000980434,80561496134,17.24040083,44.35668588,8.483644045,8.14926403,33.24995988,24.12435395,8.079723678,7.402193468,10.11074774,7.263731539,9.848250242,5.30700016,5.269000053,5.231999874,5.203999996,5.179999828,5.144000053,4.980000019,4.978000164,4.972000122,5.092999935,5.203999996,5.308000088,7.480999947,7.440000057,7.393000126,7.364999771,7.342000008,7.282999992,7.063000202,7.068999767,7.072999954,7.264999866,7.428999901,7.592000008
16,Gabon,64,Dictatorship,GAB,12438956756,15508574820,12065138273,14358584300,18186478120,17171447372,17590745162,18179752010,14377324798,14014369642,15013950984,5.030318837,5.264301456,1.885707546,1.461544027,1.263317078,2.652418287,0.505441059,4.690457518,-0.338795189,2.106707128,,18.52199936,18.87400055,19.29500008,20.38999939,20.36599922,20.22900009,20.18899918,20.08399963,20.00499916,19.88699913,19.6590004,19.45700073,35.5929985,35.45999908,35.40200043,35.95999908,36.02299881,35.94800186,36,35.97100067,35.97800064,35.87099838,35.89199829,35.8409996
17,Ghana,33,Democracy,GHA,24758819718,28526891010,25977847814,32174772956,39566292433,41939728979,63277216929,53601126664,49181854798,55009730600,58996776238,10.73272807,16.52214331,19.25071443,10.70756812,8.726836831,7.12635006,11.66619231,15.48961603,17.1499695,17.45463471,12.37192155,4.044000149,4.497000217,4.93200016,5.320000172,4.472000122,3.628999949,2.170000076,2.164000034,2.154000044,2.25999999,2.355000019,2.431999922,8.06099987,8.986000061,9.824000359,10.62100029,8.994999886,7.368999958,4.559000015,4.513000011,4.511000156,4.717999935,4.901000023,5.054999828
18,Guatemala,130,Democracy,GTM,34113107085,39136954238,37734072276,41338521642,47654783851,50388460920,53851148432,58722323918,63767597194,68663653469,75620095538,6.821617536,11.35576113,1.859102547,3.859509098,6.214123931,3.781807547,4.343371313,3.418361697,2.388720328,4.448441999,4.424536552,2.5,2.802999973,3.099999905,3.74000001,4.130000114,2.869999886,3.319999933,2.910000086,2.700000048,2.829999924,2.734999895,2.667000055,4.725999832,5.337999821,5.947999954,5.728000164,7.498000145,4.78000021,5.913000107,6.110000134,5.887000084,6.019999981,5.800000191,5.649000168
19,Guinea,158,Democracy,GIN,6281917560,6964179255,6716904635,6853467936,6785137222,7638045248,8376613797,8778473641,8794202410,8694360305,10472514515,22.84442192,18.38406459,4.68438869,15.46198107,21.35046642,15.22510139,11.88789561,9.713977334,8.150870775,8.172681123,8.915131698,4.544000149,4.551000118,4.561999798,4.545000076,4.537000179,4.532000065,4.534999847,4.531000137,4.52699995,4.510000229,4.485000134,4.468999863,5.578999996,5.563000202,5.540999889,5.559000015,5.565000057,5.565000057,5.550000191,5.546000004,5.540999889,5.537000179,5.52699995,5.522999763
20,Guinea-Bissau,32,Democracy,GNB,695990208.4,864654795.3,826798659.8,849050127.5,1098379392,989327811.8,1045790133,1053512334,1047808175,1178204501,1346841897,4.617437722,10.46007314,-1.651397336,2.517851402,5.046102263,2.130545803,1.207125557,-1.509244606,1.404608873,1.575302229,1.362148999,6.40899992,6.382999897,6.354000092,6.328000069,6.315000057,6.267000198,6.25,6.217000008,6.196000099,6.144999981,6.099999905,6.059000015,11.45400047,11.45300007,11.45499992,11.47099972,11.51799965,11.39000034,11.45100021,11.42199993,11.47399998,11.53899956,11.60400009,11.66399956
21,Haiti,264,Democracy,HTI,5885325590,6548530572,6584649419,6622541529,7516834160,7890216508,8452509316,8776350790,8724656126,7970649131,8408150518,8.528784648,15.51967613,-0.014636278,5.696511023,8.401466717,6.28908183,5.853472722,4.566173531,9.016518813,13.83374255,14.67307574,16.79999924,16.55400085,15.46700001,15.9460001,13.71800041,14.10000038,13.85299969,13.93900013,14.04500008,14.00199986,13.98799992,13.87100029,40.45700073,39.99900055,37.77000046,38.69400024,34.00799942,35.07400131,34.72900009,35.15100098,35.58800125,35.74200058,35.94800186,35.86399841
22,Honduras,145,Democracy,HND,12275501784,13789715133,14587496229,15839344592,17710315006,18528601901,18499710128,19756494435,20979767785,21643936939,22978532897,6.936214709,11.40342708,5.496342738,4.69889065,6.762279573,5.196186155,5.161898986,6.129249303,3.15783118,2.724612233,3.934360844,3.210000038,3.160000086,3.289999962,4.119999886,4.46999979,3.75,4.099999905,5.489999771,4.590000153,4.670000076,4.486000061,4.379000187,5.561999798,5.616000175,6.078000069,7.626999855,8.220999718,7.097000122,7.297999859,9.463000298,7.913000107,8.493000031,8.208000183,8.06799984
23,Jamaica,65,"Capitalism,Democracy",JAM,12827809965,13680482787,12067478478,13200286270,14413359665,14798716216,14193012191,13852192273,14145469269,14072135209,14781107822,9.285653324,22.03045685,9.573787278,12.60950824,7.529692443,6.898248186,9.344402834,8.290005777,3.675887919,2.349758498,4.378892429,9.260000229,10.32999992,11.35999966,12.36999989,12.69999981,13.93000031,15.25,13.73999977,13.51000023,13.18999958,12.44799995,12.29399967,21.69599915,24.64800072,26.53800011,28.89599991,29.71500015,34.32400131,36.1609993,32.88999939,31.43799973,31.36199951,29.73500061,29.49699974
24,Kenya,527,Democracy ,KEN,31958195182,35895153328,37021512049,40000088347,41953433591,50412754861,55096728048,61448041564,64007751188,70875223143,79263075749,9.75888023,26.23981664,9.234125924,3.961388891,14.02249396,9.377767482,5.71749357,6.878154993,6.582174403,6.297157525,8.005722791,10.82699966,10.93099976,12.17000008,12.0880003,11.98799992,11.87699986,11.76500034,11.66699982,11.5880003,11.52000046,11.47000027,11.42800045,22.80900002,23.09499931,25.9260006,26.05800056,26.04199982,26.04100037,26.11700058,26.14900017,26.20100021,26.25099945,26.20499992,26.16699982
25,Lesotho,15,Democracy,LSO,1716262757,1758534998,1773199526,2361613522,2787951879,2678475775,2526009059,2614566294,2510312805,2323419619,2578265358,8.01243669,10.71566613,7.379439352,3.598261524,4.994597891,6.122689273,4.975768208,5.318281862,3.160309819,6.60505665,5.31027255,34.85200119,35.45999908,34.38399887,25.85700035,28.19000053,23.15699959,24.57999992,24.75699997,26.97500038,27.78199959,27.24500084,28.48200035,46.55199814,47.6629982,46.21699905,36.30799866,38.86100006,32.91699982,34.53099823,34.88000107,37.97200012,38.95899963,38.53300095,40.05199814
26,Liberia,32,Democracy,LBR,1373000000,1726000000,1768000000,1998000000,2398000000,2721000000,3067000000,3144000000,3177000000,3277826000,3285455000,11.39189668,17.48944864,7.427643059,7.289927969,8.488167518,6.831787034,7.577306817,9.861112856,7.748696876,8.834248683,12.41963239,5.599999905,4.760000229,3.91899991,2.269999981,2.263999939,2.259000063,2.255000114,2.273000002,2.272000074,2.338000059,2.388999939,2.424999952,4.696000099,4.321000099,3.943000078,3.23300004,3.24000001,3.244999886,3.249000072,3.21600008,3.217000008,3.246999979,3.266000032,3.275000095
27,Libya,833,Dictatorship,LBY,67516236338,87140405361,63028320702,74773444901,34699395524,81873662519,65502870174,41142722414,27842131486,26221660076,38107728083,6.25098783,10.3607289,2.459900256,2.799895001,15.51848153,6.059803922,2.605818027,,,,,19.29500008,18.87100029,18.28300095,18.61599922,15.79300022,19.03000069,18.74099922,18.48800087,18.35700035,18.42300034,17.68400002,15.68400002,45.89199829,45.20800018,44.10699844,45.33200073,38.40399933,45.11899948,44.85400009,44.61000061,44.57400131,45.70700073,45.94499969,42.31700134
28,Madagascar,63,Democracy,MDG,7342923489,9413002921,8550363975,8729936136,9892702358,9919780071,10601690872,10673516673,9744243531,10001193315,11499803807,10.28796632,9.296508394,8.954218024,9.247321736,9.482540486,5.713844342,5.826429445,6.080408111,7.404191742,6.654801865,8.284223644,2.915999889,3.227999926,3.525000095,3.839999914,2.246999979,0.600000024,0.893000007,1.18599999,1.799999952,1.796000004,1.797000051,1.797000051,4.933000088,5.452000141,5.895999908,6.418000221,3.759000063,1.004999995,1.496999979,1.988999963,3.023000002,3.020999908,3.019000053,3.017999887
29,Malawi,56,democracy,MWI,4432937046,5321012192,6191127665,6959655571,8004000737,6028487929,5518880769,6047813437,6373212641,5433040160,6303292264,7.952209909,8.712601866,8.422044277,7.411590929,7.622822628,21.271265,27.28333333,23.79206495,21.86734755,21.71111321,11.54339392,7.474999905,7.197000027,6.974999905,6.709000111,6.428999901,6.133999825,5.949999809,5.94299984,5.883999825,5.857999802,5.897999763,5.931000233,9.87100029,9.49600029,9.177000046,8.821000099,8.461000443,8.088999748,7.824999809,7.835999966,7.788000107,7.777999878,7.81799984,7.857999802
30,Mali,459,Democracy,MLI,8145694632,9750822511,10181021770,10678749467,12978107561,12442747897,13246412031,14345828992,13099495530,14010787738,15334336144,1.412002017,9.170988137,2.463751886,1.108926907,2.955643952,5.323128471,-0.606736356,0.883814547,1.450690576,-1.799647071,1.759857429,11.71000004,10.85400009,9.98900032,8.069999695,6.900000095,7.099999905,7.300000191,6.380000114,7.730000019,7.813000202,7.910999775,8.008999825,17.88899994,16.50799942,15.12699986,10.28299999,10.43999958,10.76900005,11.0909996,8.062000275,18.19199944,18.07799911,17.95999908,17.86199951
31,Mauritania,87,Dictatorship,MRT,3356757064,4031048268,3662282133,4337791007,5166341003,5231255478,5724227185,5391475277,4844223107,4739298730,5024708656,7.254108413,7.346635412,2.220920324,6.283540874,5.686319596,4.902427272,4.129101738,3.534368561,3.254726881,1.471710456,2.254276519,10.29199982,10.18200016,10.06599998,10.17700005,10.12199974,10.10000038,10.07499981,10.02400017,9.850999832,9.843000412,9.876999855,9.902999878,17.88599968,17.81599998,17.73800087,17.95199966,17.94799995,17.98900032,18.00300026,17.98699951,17.80900002,17.8409996,17.93099976,18.02400017
32,Mauritius,1,"Capitalism,Democracy",MUS,8150138757,9990370016,9128843109,10003670690,11518393367,11668685524,12129642296,12803445934,11692287066,12232463656,13266427697,8.827292724,9.732283171,2.516091281,2.932363014,6.522492549,3.852160333,3.543295739,3.21769192,1.286549708,0.977675135,3.666997027,8.529999733,7.21999979,7.489999771,7.690000057,7.909999847,8.149999619,8,7.71999979,7.920000076,7.300000191,7.130000114,7.054999828,24.21500015,18.80999947,21.66500092,23.09700012,21.99300003,24.26499939,23.50499916,24.44199944,25.91900063,23.56599998,24.44599915,24.08099937
33,Mexico,1424,"Capitalism,Democracy",MEX,1.05E+12,1.11E+12,9E+11,1.06E+12,1.18E+12,1.2E+12,1.27E+12,1.31E+12,1.17E+12,1.08E+12,1.15E+12,3.966849055,5.124982746,5.297355842,4.156727227,3.407378246,4.111509811,3.806390697,4.018616081,2.72064065,2.821707847,6.04145724,3.650000095,3.900000095,5.380000114,5.329999924,5.190000057,4.920000076,4.940000057,4.829999924,4.340000153,3.880000114,3.420000076,3.371000051,7.129000187,7.620999813,10.03199959,9.737999916,9.80300045,9.401000023,9.430999756,9.423000336,8.562000275,7.664000034,6.827000141,6.755000114
34,Morocco,236,Monarchy,MAR,79041294874,92507257784,92897320376,93216746662,1.01E+11,98266306615,1.07E+11,1.1E+11,1.01E+11,1.03E+11,1.1E+11,2.042085127,3.707317073,0.994825964,0.987355331,0.914610714,1.287128713,1.872321227,0.442869796,1.557907113,1.635311143,0.754663249,9.56000042,9.569999695,9.100000381,9.06000042,8.909999847,8.989999771,9.229999542,9.699999809,9.659999847,9.399999619,9.331999779,9.288000107,16.37400055,18.52899933,17.60099983,17.59399986,17.97400093,18.66399956,19.05200005,19.93600082,20.6989994,18.62199974,17.95800018,17.88800049
35,Mozambique,91,Democracy,MOZ,9366742309,11494837053,10911698204,10154238250,13131168012,14534278440,16018848994,16961117243,14798413628,10981358031,12645508634,,,,,,,,,,,,21.82500076,21.9090004,22.0189991,22.16600037,22.34300041,22.54999924,23.26799965,25.29999924,25.29999924,25.15399933,25.04100037,24.91300011,38.50299835,38.49499893,38.48799896,38.50699997,38.53099823,38.54499817,39.74700165,43.20100021,43.17300034,42.94599915,42.66199875,42.38399887
36,Namibia,7,Democracy,NAM,8740865600,8486721917,8876191121,11282192605,12409629836,13016272899,12717790505,12786078008,11650656642,11281259987,13253698015,6.547881411,9.094643072,9.451726515,4.874919876,5.005595181,6.721997773,5.600925023,5.349526127,3.395660655,6.727795407,6.143923662,22.5529995,22.73399925,22.92000008,22.10000038,20.77700043,16.77000046,19.03000069,18.52000046,19.59199905,23.35000038,23.33499908,23.28499985,45.44900131,46.05099869,46.61899948,45.33000183,42.59799957,34.32300186,40.82099915,38.6570015,40.11299896,45.19200134,45.5320015,45.90299988
37,Nicaragua,40,Democratic socialism,NIC,7423377429,8496965842,8298695145,8758622329,9774316692,10532001130,10982972256,11880438824,12611087031,13184989878,13814261536,11.12693474,19.82620313,3.687001605,5.455134259,8.082387981,7.193550533,7.135467853,6.035968618,3.997379967,3.523173176,3.850671663,4.889999866,6.199999809,8.159999847,7.829999924,6.519999981,5.210000038,5.28000021,4.519999981,4.478000164,4.447000027,4.44299984,4.454999924,8.022999763,10.20600033,13.47900009,12.97900009,10.84700012,8.253000259,9.147999763,8.597000122,8.586999893,8.593000412,8.678999901,8.788999557
38,Niger,139,Democracy ,NER,4291363391,5379299888,5373097441,5718664505,6409184724,6942258305,7667952566,8229731384,7217667781,7528285444,8119710126,0.053959261,11.30510988,0.582906591,0.804073081,2.94238514,0.45508982,2.29723115,-0.93028726,0.998329582,0.177037877,2.38268715,2.400000095,1.932999969,1.350999951,0.861999989,0.319999993,0.377999991,0.342999995,0.358999997,0.335000008,0.344999999,0.354000002,0.363000005,4.393000126,3.502000093,2.415999889,1.491000056,0.481999993,0.572000027,0.515999973,0.540000021,0.501999974,0.515999973,0.528999984,0.541999996
39,Nigeria,1793,Democracy,NGA,2.76E+11,3.37E+11,2.92E+11,3.63E+11,4.1E+11,4.59E+11,5.15E+11,5.68E+11,4.95E+11,4.05E+11,3.76E+11,5.382223652,11.57798352,11.53767275,13.72020184,10.84002754,12.21778174,8.475827285,8.062485824,9.009387183,15.67534055,16.52353998,4.130000114,4.047999859,3.970999956,3.898999929,3.825999975,3.760999918,3.700000048,4.559999943,4.309999943,7.059999943,7.043000221,7.026000023,9.848999977,9.836999893,9.842000008,9.845999718,9.781000137,9.765000343,9.769000053,8.515999794,8.046999931,13.06400013,13.41300011,13.74600029
40,Panama,22,Democracy,PAN,21295984200,25155888600,27116635600,29440287600,34686224300,40429734400,45599994000,49921464365,54091713776,57957594212,62283756584,4.168633165,8.758683088,2.409053167,3.491288675,5.8758025,5.698199403,4.027160534,2.630931154,0.132255449,0.739734025,0.875585919,6.78000021,5.849999905,6.559999943,6.519999981,4.480000019,4.050000191,4.099999905,4.820000172,4.53000021,4.353000164,4.486999989,4.596000195,16.93000031,14.55500031,15.17700005,14.92199993,12.24300003,10.31400013,10.78199959,12.52299976,12.55599976,11.56999969,11.97900009,12.31599998
41,Rwanda,31,"Capitalism,Dictatorship",RWA,3824788145,4860093843,5378925895,5773084568,6563320570,7334917697,7621923308,8016591928,8277613194,8475681533,9135454442,9.080722059,15.43821387,12.89483343,-0.249887635,3.080170692,10.27101823,5.92426868,2.354490528,2.528502842,7.17434302,8.279536723,2.221999884,2.486999989,2.739000082,2.997999907,3.253999949,3.440000057,2.272000074,1.169999957,1.164999962,1.231999993,1.297000051,1.360000014,2.796999931,3.134000063,3.431999922,3.757999897,4.084000111,4.327000141,3.065000057,1.88499999,1.889000058,1.998000026,2.09800005,2.194000006
42,Senegal,142,Democracy,SEN,14285970085,16949789465,16248212852,16215069256,17878780185,17825417949,18960182371,19770919167,17767620059,18973894459,21070225735,5.853304285,7.347202366,-2.248021479,1.228681197,3.403228298,1.418228712,0.710245487,-1.090255074,0.135211934,0.837284943,1.318153148,10.07400036,10.11499977,10.16300011,10.22299957,10.35999966,9.024999619,7.688000202,6.356999874,4.849999905,4.847000122,4.84499979,4.842999935,14.21199989,13.74499989,13.28800011,12.88599968,12.53100014,10.80300045,9.022000313,7.256999969,5.302000046,5.389999866,5.472000122,5.546000004
43,Sierra Leone,52,Democracy,SLE,2158496873,2505458705,2453899847,2578026297,2942546781,3801862611,4920343195,5015157816,4218723875,3556036535,3775047334,11.64997445,8.204614927,7.469166667,7.193536131,6.788194444,6.588359616,5.51827137,4.645462047,6.693679279,10.88328586,18.2198092,3.868999958,4.006999969,4.139999866,4.269000053,4.393000126,4.513000011,4.630000114,4.679999828,4.703000069,4.59800005,4.47300005,4.360000134,6.498000145,6.941999912,7.383999825,7.852000237,8.31000042,8.822999954,9.282999992,9.508999825,9.392999649,9.340999603,9.041000366,8.774000168
44,Somalia,505,Dictatorship,SOM,,,,,,,6481000000,6562001351,6659000748,6761998534,7052000000,,,,,,,,,,,,5.936999798,5.960999966,5.984000206,6.006999969,6.027999878,6.044000149,6.058000088,6.071000099,6.080999851,6.024000168,5.979000092,5.929999828,11.08699989,11.0880003,11.08899975,11.0909996,11.0909996,11.09899998,11.10999966,11.11600018,11.11800003,11.03600025,10.96800041,10.89000034
45,South Africa,419,Democracy,ZAF,2.99E+11,2.87E+11,2.96E+11,3.75E+11,4.16E+11,3.96E+11,3.67E+11,3.51E+11,3.18E+11,2.96E+11,3.49E+11,6.17781207,10.05528203,7.264562145,4.063538973,5.017157733,5.723943662,5.776404135,6.136020151,4.509208278,6.594604415,5.181082233,22.32999992,22.43000031,23.54000092,24.69000053,24.64999962,24.72999954,24.56999969,24.89999962,25.15999985,26.54999924,27.32999992,27.37299919,46.47999954,45.59999847,48.34999847,51.18999863,50.27999878,51.70000076,51.43000031,51.29999924,50.13999939,53.36000061,53.52999878,53.80199814
46,South Sudan,206,Dictatorship,SDN,0,0,0,0,17273335564,11266779661,14940338983,15099661017,10906867790,2904114903,,,,5.006273615,1.169621803,47.30529125,45.07825706,-0.039381326,1.655223598,52.81465207,379.8480206,187.8516257,12.20699978,12.14999962,12.11400032,12.14400005,11.66800022,11.27600002,12.92700005,12.17399979,11.99400043,11.54199982,11.54300022,11.49699974,18.54000092,18.4279995,18.33699989,18.42300034,17.29299927,16.37899971,20.39500046,18.60899925,18.22500038,17.43899918,17.61199951,17.5909996
47,Sudan,425,Dictatorship,SDN,45898948564,54526580232,53150209168,65634109237,67327289320,68125631150,72065940086,82151588419,97156119150,95584380032,1.17E+11,7.976023489,14.30651248,11.24854637,13.24539414,18.09226225,35.56524887,36.52114404,36.90664279,16.90945571,,,12.92599964,12.90799999,13,12.80500031,12.99800014,13.03600025,12.86600018,12.81000042,12.78499985,12.73400021,12.7329998,12.71000004,27.35300064,27.34799957,27.5909996,27.1079998,27.61199951,27.70700073,27.32299995,27.25699997,27.28700066,27.2670002,27.27599907,27.24500084
